transaction_id,date,year,sender_state,receiver_state,sender_account,receiver_account,amount_inr,transaction_type,channel,risk_score,flagged
TX0000656,2022-01-14,2022,Uttar Pradesh,Mizoram,ACC188609,ACC364756,274751.28,Trade Invoice Payment,UPI,0.22,False
TX0000657,2018-09-01,2018,Maharashtra,Haryana,ACC550704,ACC484006,260903.5,Trade Invoice Payment,UPI,0.1,False
TX0000658,2021-05-11,2021,Uttar Pradesh,Rajasthan,ACC115348,ACC197204,317885.64,Cash Deposit,Crypto Exchange,0.25,False
TX0000659,2019-11-08,2019,Tamil Nadu,Haryana,ACC715939,ACC817952,21361.98,Shell Company Transfer,UPI,0.65,True
TX0000660,2018-06-11,2018,Odisha,Rajasthan,ACC381291,ACC981287,21674.23,Cash Deposit,UPI,0.14,False
TX0000661,2024-02-14,2024,Bihar,Haryana,ACC561238,ACC633189,115807.14,Trade Invoice Payment,Crypto Exchange,0.25,False
TX0000662,2020-05-08,2020,Rajasthan,Tamil Nadu,ACC146667,ACC819371,89414.77,Trade Invoice Payment,Bank Transfer,0.27,False
TX0000663,2020-09-01,2020,Delhi,Delhi,ACC439277,ACC871710,38314.68,Remittance,Bank Transfer,0.08,False
TX0000664,2019-04-26,2019,Maharashtra,Tamil Nadu,ACC184927,ACC248137,34567.04,Shell Company Transfer,Hawala Network,0.75,True
TX0000665,2021-06-08,2021,Delhi,Uttar Pradesh,ACC462669,ACC936425,499549.79,Cash Deposit,Bank Transfer,0.12,False
TX0000666,2019-12-20,2019,Assam,Kerala,ACC232269,ACC282407,110553.84,Cash Deposit,Crypto Exchange,0.18,False
TX0000667,2021-02-01,2021,Telangana,Odisha,ACC817957,ACC783277,113850.25,Trade Invoice Payment,Hawala Network,0.18,False
TX0000668,2022-09-14,2022,Karnataka,Kerala,ACC758547,ACC409211,230828.35,Trade Invoice Payment,Crypto Exchange,0.11,False
TX0000669,2018-10-16,2018,Punjab,Mizoram,ACC719087,ACC196262,77709.83,Trade Invoice Payment,Cash,0.29,False
TX0000670,2019-04-08,2019,Mizoram,Kerala,ACC708251,ACC121107,96299.71,Remittance,Crypto Exchange,0.19,False
TX0000671,2019-05-09,2019,Gujarat,Tamil Nadu,ACC148102,ACC432201,116243.05,Hawala-linked Transfer,Crypto Exchange,0.56,False
TX0000672,2022-12-18,2022,Jammu and Kashmir,Andhra Pradesh,ACC493656,ACC335459,104573.67,Remittance,Hawala Network,0.21,False
TX0000673,2020-09-17,2020,Haryana,West Bengal,ACC301389,ACC545349,148994.29,Remittance,Crypto Exchange,0.25,False
TX0000674,2022-08-03,2022,Jammu and Kashmir,Tamil Nadu,ACC383961,ACC770144,61085.1,Trade Invoice Payment,UPI,0.1,False
TX0000675,2021-10-20,2021,Telangana,Delhi,ACC109373,ACC123245,319017.83,Remittance,Bank Transfer,0.14,False
TX0000676,2023-07-19,2023,Delhi,Maharashtra,ACC179505,ACC442946,58899.16,Trade Invoice Payment,UPI,0.11,False
TX0000677,2018-03-27,2018,Tamil Nadu,Telangana,ACC168689,ACC700698,908077.31,Remittance,Cash,0.29,False
TX0000678,2018-12-06,2018,Telangana,Kerala,ACC247166,ACC783135,15562.11,Cash Deposit,Bank Transfer,0.12,False
TX0000679,2019-11-03,2019,Tamil Nadu,Kerala,ACC552604,ACC111750,282627.4,Remittance,Hawala Network,0.11,False
TX0000680,2020-08-17,2020,Madhya Pradesh,Jammu and Kashmir,ACC129374,ACC241687,870668.75,Remittance,Bank Transfer,0.14,False
TX0000681,2022-02-10,2022,Gujarat,Maharashtra,ACC966425,ACC219722,7600.0,Remittance,Crypto Exchange,0.12,False
TX0000682,2022-10-15,2022,Punjab,Maharashtra,ACC173807,ACC753101,105118.88,Hawala-linked Transfer,Bank Transfer,0.57,False
TX0000683,2018-09-21,2018,Bihar,Delhi,ACC786863,ACC969019,89246.19,Trade Invoice Payment,UPI,0.15,False
TX0000684,2020-09-11,2020,Karnataka,Delhi,ACC705232,ACC541262,25071.25,Trade Invoice Payment,Bank Transfer,0.17,False
TX0000685,2023-01-03,2023,Uttar Pradesh,Tamil Nadu,ACC134302,ACC958381,48386.71,Remittance,Cash,0.18,False
TX0000686,2020-11-01,2020,Rajasthan,Odisha,ACC287443,ACC358619,158725.36,Trade Invoice Payment,Hawala Network,0.2,False
TX0000687,2021-12-18,2021,Madhya Pradesh,Haryana,ACC644191,ACC624473,84897.45,Trade Invoice Payment,Cash,0.25,False
TX0000688,2020-03-03,2020,Maharashtra,Maharashtra,ACC177708,ACC369504,24490.12,Trade Invoice Payment,Hawala Network,0.1,False
TX0000689,2024-08-14,2024,Telangana,Telangana,ACC863812,ACC938945,1099771.77,Remittance,Hawala Network,0.06,False
TX0000690,2019-04-06,2019,Uttar Pradesh,Tamil Nadu,ACC311431,ACC155154,427172.81,Trade Invoice Payment,Hawala Network,0.12,False
TX0000691,2018-03-09,2018,Jammu and Kashmir,Bihar,ACC296505,ACC368835,149367.5,Cash Deposit,Hawala Network,0.29,False
TX0000692,2021-06-10,2021,Assam,Karnataka,ACC877553,ACC503887,83345.68,Cash Deposit,Bank Transfer,0.2,False
TX0000693,2024-08-24,2024,Mizoram,Jammu and Kashmir,ACC987258,ACC217167,70450.14,Shell Company Transfer,Hawala Network,0.75,True
TX0000694,2024-11-15,2024,Delhi,Uttar Pradesh,ACC150662,ACC435011,15244.04,Remittance,UPI,0.21,False
TX0000695,2022-09-19,2022,West Bengal,Rajasthan,ACC379517,ACC685744,44924.77,Shell Company Transfer,Cash,0.72,True
TX0000696,2024-10-21,2024,Gujarat,Assam,ACC822913,ACC489022,83342.03,Trade Invoice Payment,Crypto Exchange,0.2,False
TX0000697,2023-11-25,2023,Jammu and Kashmir,West Bengal,ACC625690,ACC504346,103282.1,Trade Invoice Payment,Hawala Network,0.11,False
TX0000698,2020-01-10,2020,Assam,Tamil Nadu,ACC947060,ACC794049,498648.89,Cash Deposit,Hawala Network,0.19,False
TX0000699,2022-12-14,2022,Mizoram,Manipur,ACC884965,ACC827270,216777.14,Remittance,Crypto Exchange,0.24,False
TX0000700,2024-05-27,2024,Manipur,Haryana,ACC526453,ACC229076,265277.33,Shell Company Transfer,UPI,0.64,False
TX0000701,2023-08-05,2023,Manipur,Odisha,ACC234892,ACC310126,163595.84,Cash Deposit,Bank Transfer,0.16,False
TX0000702,2022-03-21,2022,Bihar,Madhya Pradesh,ACC817432,ACC691724,103330.73,Shell Company Transfer,Hawala Network,0.69,True
TX0000703,2020-09-27,2020,Assam,Assam,ACC688510,ACC654359,348873.66,Trade Invoice Payment,Cash,0.09,False
TX0000704,2024-05-12,2024,Manipur,Andhra Pradesh,ACC193992,ACC675454,10962.76,Cash Deposit,Bank Transfer,0.28,False
TX0000705,2024-11-18,2024,Assam,Gujarat,ACC481226,ACC367378,237456.3,Trade Invoice Payment,UPI,0.26,False
TX0000706,2021-02-07,2021,Manipur,Mizoram,ACC262611,ACC757408,71181.85,Trade Invoice Payment,Bank Transfer,0.28,False
TX0000707,2018-01-26,2018,Manipur,Maharashtra,ACC963734,ACC244966,244124.2,Trade Invoice Payment,Bank Transfer,0.16,False
TX0000708,2019-05-08,2019,Telangana,Jammu and Kashmir,ACC343765,ACC693724,184046.63,Cash Deposit,UPI,0.26,False
TX0000709,2022-01-27,2022,Punjab,Manipur,ACC702821,ACC626567,423428.32,Shell Company Transfer,Bank Transfer,0.57,False
TX0000710,2023-01-25,2023,Karnataka,Punjab,ACC285549,ACC249023,930156.6,Trade Invoice Payment,UPI,0.21,False
TX0000711,2021-01-22,2021,Madhya Pradesh,Madhya Pradesh,ACC817585,ACC372842,156149.63,Cash Deposit,Hawala Network,0.06,False
TX0000712,2019-10-12,2019,Kerala,Assam,ACC816460,ACC983048,82342.95,Remittance,Hawala Network,0.16,False
TX0000713,2021-12-13,2021,Bihar,Delhi,ACC775527,ACC393069,80987.06,Trade Invoice Payment,Cash,0.18,False
TX0000714,2019-09-27,2019,Manipur,Mizoram,ACC318141,ACC780990,340785.78,Trade Invoice Payment,Crypto Exchange,0.28,False
TX0000715,2020-11-20,2020,Assam,Manipur,ACC613596,ACC557391,30731.04,Remittance,Hawala Network,0.16,False
TX0000716,2018-07-20,2018,Bihar,Assam,ACC762125,ACC672529,30175.93,Remittance,Cash,0.24,False
TX0000717,2022-12-07,2022,Kerala,Tamil Nadu,ACC893877,ACC622878,26601.91,Remittance,Hawala Network,0.11,False
TX0000718,2022-05-21,2022,Assam,Madhya Pradesh,ACC423076,ACC948343,555688.3,Remittance,UPI,0.18,False
TX0000719,2022-05-10,2022,Mizoram,Karnataka,ACC340444,ACC645776,45627.53,Remittance,UPI,0.28,False
TX0000720,2024-12-15,2024,Jammu and Kashmir,Madhya Pradesh,ACC474993,ACC691740,331201.8,Remittance,Cash,0.19,False
TX0000721,2018-12-19,2018,Punjab,Odisha,ACC842594,ACC610318,80747.84,Shell Company Transfer,UPI,0.61,False
TX0000722,2021-09-03,2021,West Bengal,Rajasthan,ACC666690,ACC945287,347834.6,Remittance,Crypto Exchange,0.18,False
TX0000723,2019-01-20,2019,Delhi,Maharashtra,ACC692346,ACC397157,2818448.27,Trade Invoice Payment,UPI,0.52,False
TX0000724,2021-08-18,2021,Telangana,Kerala,ACC444058,ACC767324,148112.71,Hawala-linked Transfer,Bank Transfer,0.59,False
TX0000725,2024-10-10,2024,Assam,Madhya Pradesh,ACC641652,ACC888867,144977.54,Hawala-linked Transfer,Cash,0.63,False
TX0000726,2021-06-08,2021,Jammu and Kashmir,Telangana,ACC633833,ACC969760,132683.88,Trade Invoice Payment,Bank Transfer,0.14,False
TX0000727,2020-01-24,2020,Gujarat,Jammu and Kashmir,ACC447038,ACC662249,1754134.3,Trade Invoice Payment,Bank Transfer,0.21,False
TX0000728,2021-11-04,2021,Uttar Pradesh,Gujarat,ACC621027,ACC353190,109891.83,Trade Invoice Payment,Cash,0.23,False
TX0000729,2020-08-16,2020,Haryana,Tamil Nadu,ACC809918,ACC410687,17064.72,Cash Deposit,Crypto Exchange,0.25,False
TX0000730,2022-10-26,2022,Andhra Pradesh,Manipur,ACC485994,ACC565783,447115.15,Remittance,Bank Transfer,0.2,False
TX0000731,2023-11-22,2023,Kerala,Assam,ACC486005,ACC972951,101705.85,Trade Invoice Payment,Bank Transfer,0.2,False
TX0000732,2022-03-08,2022,Assam,Telangana,ACC426155,ACC203656,242309.32,Cash Deposit,Hawala Network,0.24,False
TX0000733,2024-04-05,2024,Bihar,Jammu and Kashmir,ACC175306,ACC557968,19771.52,Remittance,Cash,0.17,False
TX0000734,2022-01-12,2022,Andhra Pradesh,West Bengal,ACC993114,ACC537832,37794.93,Crypto Off-ramp,Hawala Network,0.58,False
TX0000735,2024-04-07,2024,Jammu and Kashmir,Manipur,ACC830460,ACC401196,1499012.56,Trade Invoice Payment,UPI,0.19,False
TX0000736,2019-06-10,2019,Mizoram,Assam,ACC814544,ACC843330,64617.06,Remittance,Crypto Exchange,0.25,False
TX0000737,2019-02-17,2019,Maharashtra,Maharashtra,ACC829683,ACC647282,41762.23,Hawala-linked Transfer,UPI,0.62,False
TX0000738,2019-07-04,2019,Madhya Pradesh,Assam,ACC404560,ACC141475,25569.65,Remittance,UPI,0.12,False
TX0000739,2023-07-17,2023,Andhra Pradesh,Mizoram,ACC463385,ACC853806,66786.64,Shell Company Transfer,Bank Transfer,0.71,True
TX0000740,2023-07-26,2023,Maharashtra,Rajasthan,ACC360533,ACC483520,37763.43,Trade Invoice Payment,Bank Transfer,0.25,False
TX0000741,2021-10-06,2021,Odisha,Manipur,ACC509260,ACC633455,70945.5,Trade Invoice Payment,Crypto Exchange,0.23,False
TX0000742,2022-01-11,2022,Odisha,Bihar,ACC807849,ACC591147,27419.38,Remittance,Crypto Exchange,0.22,False
TX0000743,2023-07-13,2023,West Bengal,Haryana,ACC142068,ACC785759,57154.76,Remittance,UPI,0.22,False
TX0000744,2021-07-09,2021,Tamil Nadu,Andhra Pradesh,ACC483293,ACC443637,101500.05,Hawala-linked Transfer,Cash,0.63,False
TX0000745,2023-09-08,2023,Mizoram,Mizoram,ACC156417,ACC212339,252885.19,Hawala-linked Transfer,Cash,0.53,False
TX0000746,2021-02-27,2021,Haryana,Jammu and Kashmir,ACC665681,ACC921465,11529.46,Shell Company Transfer,Hawala Network,0.71,True
TX0000747,2019-12-14,2019,Kerala,Jammu and Kashmir,ACC216386,ACC358448,125480.53,Cash Deposit,Hawala Network,0.29,False
TX0000748,2022-11-05,2022,Haryana,Odisha,ACC243750,ACC726598,41330.6,Trade Invoice Payment,UPI,0.2,False
TX0000749,2019-02-24,2019,Kerala,Punjab,ACC861838,ACC571824,69184.19,Hawala-linked Transfer,Cash,0.72,True
TX0000750,2019-08-03,2019,Madhya Pradesh,Karnataka,ACC960357,ACC266473,37739.09,Trade Invoice Payment,UPI,0.19,False
TX0000751,2023-12-15,2023,Manipur,Jammu and Kashmir,ACC274115,ACC597067,290480.3,Remittance,Hawala Network,0.3,False
TX0000752,2019-12-02,2019,Punjab,Haryana,ACC857492,ACC937779,996555.79,Remittance,Cash,0.17,False
TX0000753,2024-06-06,2024,Madhya Pradesh,Odisha,ACC225997,ACC845709,10645.24,Cash Deposit,Cash,0.23,False
TX0000754,2023-06-17,2023,Punjab,West Bengal,ACC890635,ACC554275,161552.31,Cash Deposit,Cash,0.14,False
TX0000755,2022-01-27,2022,Jammu and Kashmir,West Bengal,ACC568471,ACC594572,411692.78,Trade Invoice Payment,Hawala Network,0.29,False
TX0000756,2019-04-12,2019,West Bengal,Punjab,ACC245693,ACC759618,10344.42,Trade Invoice Payment,Hawala Network,0.24,False
TX0000757,2018-05-19,2018,West Bengal,Madhya Pradesh,ACC528349,ACC610834,59028.77,Trade Invoice Payment,Hawala Network,0.24,False
TX0000758,2020-09-16,2020,Uttar Pradesh,Bihar,ACC174561,ACC356162,68546.57,Trade Invoice Payment,Hawala Network,0.16,False
TX0000759,2023-04-18,2023,Kerala,Jammu and Kashmir,ACC603720,ACC867483,107153.37,Remittance,Hawala Network,0.13,False
TX0000760,2022-08-25,2022,Andhra Pradesh,Tamil Nadu,ACC469532,ACC251001,231414.89,Trade Invoice Payment,Crypto Exchange,0.29,False
TX0000761,2020-03-18,2020,Bihar,Andhra Pradesh,ACC546961,ACC582112,247610.36,Trade Invoice Payment,Cash,0.13,False
TX0000762,2024-11-14,2024,Odisha,Assam,ACC393096,ACC739224,82290.54,Trade Invoice Payment,Bank Transfer,0.3,False
TX0000763,2021-05-25,2021,Assam,Odisha,ACC601374,ACC504104,257602.22,Trade Invoice Payment,Bank Transfer,0.13,False
TX0000764,2020-02-06,2020,Karnataka,Odisha,ACC889518,ACC828269,407022.73,Shell Company Transfer,Hawala Network,0.7,True
TX0000765,2018-04-27,2018,Kerala,Maharashtra,ACC813374,ACC911641,444839.93,Shell Company Transfer,Hawala Network,0.65,True
TX0000766,2023-03-02,2023,West Bengal,Tamil Nadu,ACC281451,ACC890283,67851.33,Remittance,Cash,0.11,False
TX0000767,2020-06-27,2020,West Bengal,Bihar,ACC368884,ACC325930,1488778.0,Cash Deposit,Hawala Network,0.27,False
TX0000768,2022-01-16,2022,Uttar Pradesh,Assam,ACC118325,ACC978652,88118.23,Remittance,Crypto Exchange,0.14,False
TX0000769,2021-04-19,2021,West Bengal,Haryana,ACC322161,ACC618204,213143.87,Crypto Off-ramp,Crypto Exchange,0.74,True
TX0000770,2019-10-15,2019,Haryana,Gujarat,ACC882810,ACC438857,16030.0,Shell Company Transfer,Cash,0.63,False
TX0000771,2019-12-20,2019,Delhi,Manipur,ACC705252,ACC517872,84975.27,Cash Deposit,UPI,0.19,False
TX0000772,2022-11-04,2022,Uttar Pradesh,Jammu and Kashmir,ACC471956,ACC104255,104946.4,Trade Invoice Payment,UPI,0.21,False
TX0000773,2022-10-06,2022,Maharashtra,Madhya Pradesh,ACC964549,ACC893000,169010.63,Trade Invoice Payment,Hawala Network,0.2,False
TX0000774,2020-05-14,2020,Mizoram,Odisha,ACC479738,ACC253883,33974.89,Trade Invoice Payment,Bank Transfer,0.2,False
TX0000775,2022-05-14,2022,Uttar Pradesh,Gujarat,ACC654686,ACC584753,329760.94,Hawala-linked Transfer,Cash,0.73,True
TX0000776,2019-03-21,2019,Jammu and Kashmir,Assam,ACC955857,ACC548619,17856.66,Cash Deposit,Crypto Exchange,0.14,False
TX0000777,2018-10-11,2018,Gujarat,Andhra Pradesh,ACC973084,ACC388128,96481.68,Hawala-linked Transfer,Cash,0.58,False
TX0000778,2021-12-15,2021,Haryana,Bihar,ACC309566,ACC895054,169622.69,Trade Invoice Payment,UPI,0.14,False
TX0000779,2022-05-08,2022,Gujarat,Andhra Pradesh,ACC649864,ACC530224,60369.51,Cash Deposit,UPI,0.16,False
TX0000780,2019-06-04,2019,West Bengal,Maharashtra,ACC284535,ACC293855,81328.14,Trade Invoice Payment,Cash,0.3,False
TX0000781,2023-08-13,2023,Uttar Pradesh,Gujarat,ACC930101,ACC434283,161739.02,Remittance,Cash,0.16,False
TX0000782,2021-10-14,2021,Kerala,Mizoram,ACC987892,ACC456238,84467.35,Trade Invoice Payment,Bank Transfer,0.28,False
TX0000783,2021-11-18,2021,Odisha,Assam,ACC593959,ACC124514,59178.3,Shell Company Transfer,Cash,0.57,False
TX0000784,2024-10-03,2024,Odisha,Bihar,ACC425645,ACC809642,17728.17,Trade Invoice Payment,Crypto Exchange,0.21,False
TX0000785,2019-04-18,2019,Haryana,Jammu and Kashmir,ACC603582,ACC413024,232603.43,Cash Deposit,UPI,0.29,False
TX0000786,2019-12-12,2019,Tamil Nadu,Delhi,ACC611943,ACC928033,16948.39,Cash Deposit,UPI,0.16,False
TX0000787,2020-03-14,2020,Jammu and Kashmir,West Bengal,ACC359213,ACC211922,8313.96,Cash Deposit,Bank Transfer,0.17,False
TX0000788,2021-10-18,2021,Andhra Pradesh,Uttar Pradesh,ACC699036,ACC139601,528379.59,Hawala-linked Transfer,Hawala Network,0.56,False
TX0000789,2018-04-12,2018,Maharashtra,Bihar,ACC885683,ACC603888,104801.15,Trade Invoice Payment,Crypto Exchange,0.27,False
TX0000790,2024-11-09,2024,Haryana,Odisha,ACC225873,ACC687251,55314.13,Remittance,Hawala Network,0.2,False
TX0000791,2018-02-18,2018,Telangana,Odisha,ACC805029,ACC967002,89893.62,Remittance,Crypto Exchange,0.27,False
TX0000792,2020-02-13,2020,Mizoram,West Bengal,ACC966416,ACC225603,14066.05,Hawala-linked Transfer,Crypto Exchange,0.62,False
TX0000793,2018-02-06,2018,Assam,Punjab,ACC162350,ACC964254,805346.31,Trade Invoice Payment,Hawala Network,0.11,False
TX0000794,2018-02-24,2018,Bihar,Karnataka,ACC444410,ACC307163,9176.67,Shell Company Transfer,Crypto Exchange,0.74,True
TX0000795,2018-07-05,2018,Punjab,Mizoram,ACC519751,ACC933994,41978.18,Trade Invoice Payment,UPI,0.21,False
TX0000796,2022-01-02,2022,Mizoram,Odisha,ACC927082,ACC413144,184799.67,Trade Invoice Payment,Bank Transfer,0.23,False
TX0000797,2022-04-21,2022,Telangana,Haryana,ACC203163,ACC302383,29568.62,Hawala-linked Transfer,UPI,0.63,False
TX0000798,2020-02-18,2020,Telangana,Jammu and Kashmir,ACC172994,ACC666132,71845.92,Hawala-linked Transfer,Bank Transfer,0.68,True
TX0000799,2018-12-17,2018,Punjab,Rajasthan,ACC857497,ACC884063,174059.18,Remittance,Cash,0.23,False
TX0000800,2021-12-13,2021,Manipur,Odisha,ACC874446,ACC855766,113360.24,Trade Invoice Payment,Cash,0.12,False
TX0000801,2018-01-27,2018,Bihar,Uttar Pradesh,ACC131480,ACC469471,613387.9,Shell Company Transfer,Cash,0.63,False
TX0000802,2022-02-02,2022,Telangana,Punjab,ACC277632,ACC368944,72142.95,Shell Company Transfer,UPI,0.75,True
TX0000803,2020-04-18,2020,Assam,Kerala,ACC573965,ACC101577,24121.87,Remittance,Hawala Network,0.11,False
TX0000804,2020-02-08,2020,West Bengal,Punjab,ACC656492,ACC877651,465016.49,Hawala-linked Transfer,Crypto Exchange,0.66,True
TX0000805,2020-11-06,2020,Madhya Pradesh,Uttar Pradesh,ACC965181,ACC213241,17364.34,Trade Invoice Payment,Cash,0.28,False
TX0000806,2020-10-04,2020,Punjab,Rajasthan,ACC847842,ACC717207,76613.27,Remittance,Crypto Exchange,0.11,False
TX0000807,2018-03-20,2018,Madhya Pradesh,Telangana,ACC906290,ACC304781,8735.6,Trade Invoice Payment,Hawala Network,0.21,False
TX0000808,2018-07-02,2018,Jammu and Kashmir,Mizoram,ACC279318,ACC718345,79882.8,Trade Invoice Payment,UPI,0.11,False
TX0000809,2019-08-01,2019,Tamil Nadu,Uttar Pradesh,ACC348607,ACC663707,1435972.36,Hawala-linked Transfer,Bank Transfer,0.7,True
TX0000810,2020-11-03,2020,Manipur,Haryana,ACC806569,ACC578670,89363.82,Trade Invoice Payment,Bank Transfer,0.24,False
TX0000811,2022-10-08,2022,Rajasthan,Andhra Pradesh,ACC688169,ACC804469,74346.6,Cash Deposit,UPI,0.14,False
TX0000812,2022-12-12,2022,Uttar Pradesh,West Bengal,ACC703718,ACC862889,58394.1,Remittance,UPI,0.22,False
TX0000813,2023-03-25,2023,Odisha,Jammu and Kashmir,ACC651082,ACC718217,869118.91,Trade Invoice Payment,Bank Transfer,0.17,False
TX0000814,2021-08-27,2021,Delhi,Tamil Nadu,ACC940038,ACC244398,1613349.16,Remittance,Crypto Exchange,0.26,False
TX0000815,2021-09-27,2021,Delhi,Karnataka,ACC900270,ACC795984,168390.31,Trade Invoice Payment,Bank Transfer,0.25,False
TX0000816,2023-04-08,2023,Madhya Pradesh,Bihar,ACC989833,ACC319787,39571.45,Crypto Off-ramp,Bank Transfer,0.67,True
TX0000817,2019-02-01,2019,Manipur,Delhi,ACC565446,ACC971618,285757.02,Trade Invoice Payment,UPI,0.11,False
TX0000818,2024-11-09,2024,Mizoram,Haryana,ACC134280,ACC183620,3964.13,Remittance,Bank Transfer,0.24,False
TX0000819,2022-11-18,2022,Assam,Bihar,ACC265574,ACC872412,561149.9,Shell Company Transfer,Bank Transfer,0.68,True
TX0000820,2023-08-20,2023,Rajasthan,Gujarat,ACC489407,ACC910000,99318.55,Crypto Off-ramp,Hawala Network,0.66,True
TX0000821,2021-04-15,2021,Andhra Pradesh,Bihar,ACC426953,ACC909306,12983.15,Remittance,UPI,0.26,False
TX0000822,2022-04-08,2022,Gujarat,Madhya Pradesh,ACC948635,ACC888061,129477.71,Trade Invoice Payment,UPI,0.24,False
TX0000823,2020-03-21,2020,Karnataka,Andhra Pradesh,ACC557672,ACC765882,294801.01,Hawala-linked Transfer,Cash,0.58,False
TX0000824,2018-03-27,2018,Telangana,Gujarat,ACC842882,ACC613453,97619.86,Crypto Off-ramp,UPI,0.63,False
TX0000825,2021-08-20,2021,West Bengal,Kerala,ACC615974,ACC656742,79148.14,Remittance,Bank Transfer,0.2,False
TX0000826,2022-03-17,2022,Jammu and Kashmir,Rajasthan,ACC971636,ACC271755,18914.01,Shell Company Transfer,Crypto Exchange,0.58,False
TX0000827,2019-05-24,2019,Telangana,Tamil Nadu,ACC291860,ACC563189,247740.43,Trade Invoice Payment,Bank Transfer,0.24,False
TX0000828,2023-11-21,2023,Punjab,Odisha,ACC179597,ACC432798,52158.87,Shell Company Transfer,Crypto Exchange,0.65,True
TX0000829,2019-07-13,2019,Mizoram,Mizoram,ACC726993,ACC778674,1938.19,Trade Invoice Payment,Crypto Exchange,0.17,False
TX0000830,2018-09-10,2018,Punjab,Tamil Nadu,ACC891088,ACC227473,3447.75,Trade Invoice Payment,Crypto Exchange,0.17,False
TX0000831,2022-03-07,2022,Odisha,Mizoram,ACC625299,ACC682310,30352.97,Remittance,Bank Transfer,0.26,False
TX0000832,2023-02-21,2023,Madhya Pradesh,Haryana,ACC696710,ACC835391,424767.18,Trade Invoice Payment,Hawala Network,0.27,False
TX0000833,2023-02-12,2023,Tamil Nadu,West Bengal,ACC819629,ACC379933,27182.87,Trade Invoice Payment,Cash,0.19,False
TX0000834,2019-10-05,2019,Kerala,Madhya Pradesh,ACC426970,ACC923052,1999766.63,Cash Deposit,Cash,0.27,False
TX0000835,2019-08-23,2019,Gujarat,Punjab,ACC350472,ACC540313,78715.16,Trade Invoice Payment,Hawala Network,0.23,False
TX0000836,2019-06-18,2019,Gujarat,Jammu and Kashmir,ACC248361,ACC447916,66138.71,Shell Company Transfer,Cash,0.73,True
TX0000837,2024-11-03,2024,Gujarat,Haryana,ACC888932,ACC720707,15663.02,Trade Invoice Payment,Bank Transfer,0.27,False
TX0000838,2021-05-19,2021,Rajasthan,Odisha,ACC714513,ACC218266,10631.12,Trade Invoice Payment,Hawala Network,0.22,False
TX0000839,2019-11-07,2019,Gujarat,Odisha,ACC462535,ACC809497,53971.44,Trade Invoice Payment,Hawala Network,0.19,False
TX0000840,2019-05-07,2019,Assam,Odisha,ACC420118,ACC452545,357546.58,Remittance,Crypto Exchange,0.26,False
TX0000841,2018-12-06,2018,Delhi,Madhya Pradesh,ACC131280,ACC675498,67999.68,Remittance,UPI,0.22,False
TX0000842,2020-05-04,2020,Haryana,Andhra Pradesh,ACC800729,ACC388460,39537.22,Remittance,Hawala Network,0.29,False
TX0000843,2021-01-18,2021,Odisha,Kerala,ACC126028,ACC191143,26112.76,Cash Deposit,Cash,0.27,False
TX0000844,2018-05-24,2018,Madhya Pradesh,Manipur,ACC713860,ACC284098,196900.21,Shell Company Transfer,Cash,0.69,True
TX0000845,2020-07-22,2020,Manipur,Rajasthan,ACC658479,ACC497317,187017.22,Remittance,Cash,0.12,False
TX0000846,2020-10-23,2020,Haryana,West Bengal,ACC990044,ACC334019,67570.06,Shell Company Transfer,Bank Transfer,0.74,True
TX0000847,2023-03-06,2023,Bihar,Jammu and Kashmir,ACC674934,ACC232046,164182.62,Cash Deposit,Cash,0.16,False
TX0000848,2023-11-16,2023,Haryana,Assam,ACC802758,ACC568724,708429.29,Remittance,Cash,0.23,False
TX0000849,2024-02-19,2024,Tamil Nadu,Telangana,ACC595691,ACC650032,252306.51,Trade Invoice Payment,Cash,0.26,False
TX0000850,2022-08-05,2022,Jammu and Kashmir,Manipur,ACC302753,ACC799559,19937.07,Hawala-linked Transfer,Cash,0.72,True
TX0000851,2021-11-17,2021,Uttar Pradesh,Kerala,ACC557148,ACC211429,28339.78,Hawala-linked Transfer,UPI,0.65,True
TX0000852,2024-11-01,2024,Kerala,Punjab,ACC923771,ACC447142,23966.02,Cash Deposit,Crypto Exchange,0.26,False
TX0000853,2021-03-20,2021,Andhra Pradesh,Odisha,ACC381125,ACC846760,35604.18,Cash Deposit,Bank Transfer,0.21,False
TX0000854,2021-06-09,2021,Manipur,Gujarat,ACC919818,ACC770984,78652.03,Remittance,Hawala Network,0.3,False
TX0000855,2022-01-06,2022,Karnataka,Karnataka,ACC927631,ACC530316,22184.34,Remittance,UPI,0.07,False
TX0000856,2021-11-10,2021,Delhi,Andhra Pradesh,ACC726442,ACC544751,42867.4,Trade Invoice Payment,UPI,0.14,False
TX0000857,2018-04-11,2018,Gujarat,Kerala,ACC431716,ACC208808,217894.35,Remittance,Hawala Network,0.24,False
TX0000858,2019-10-12,2019,Kerala,Uttar Pradesh,ACC689749,ACC365148,127201.43,Remittance,UPI,0.12,False
TX0000859,2024-01-16,2024,Madhya Pradesh,Telangana,ACC713284,ACC962679,96536.26,Trade Invoice Payment,Crypto Exchange,0.27,False
TX0000860,2019-01-15,2019,Telangana,Assam,ACC246052,ACC126080,19911.66,Hawala-linked Transfer,Hawala Network,0.64,False
TX0000861,2020-03-23,2020,Uttar Pradesh,West Bengal,ACC713917,ACC153966,37422.04,Cash Deposit,UPI,0.24,False
